 Disk integrated flux for K0V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
============================================================
  731.000  3.358e+07  1.791e+07  1.958e+07  5.036e+06
  733.000  3.327e+07  1.776e+07  1.939e+07  5.219e+06
  735.000  3.334e+07  1.792e+07  1.954e+07  5.416e+06
  737.000  3.355e+07  1.820e+07  1.983e+07  5.676e+06
  739.000  3.280e+07  1.801e+07  1.959e+07  5.844e+06
  741.000  3.253e+07  1.792e+07  1.948e+07  5.960e+06
  743.000  3.288e+07  1.814e+07  1.971e+07  6.067e+06
  745.000  3.271e+07  1.803e+07  1.958e+07  6.121e+06
  747.000  3.292e+07  1.820e+07  1.975e+07  6.231e+06
  749.000  3.257e+07  1.808e+07  1.962e+07  6.268e+06
  751.000  3.262e+07  1.816e+07  1.970e+07  6.324e+06
  753.000  3.280e+07  1.830e+07  1.984e+07  6.388e+06
  755.000  3.283e+07  1.832e+07  1.987e+07  6.400e+06
  757.000  3.248e+07  1.819e+07  1.972e+07  6.401e+06
  759.000  3.230e+07  1.789e+07  1.944e+07  5.970e+06
  761.000  3.218e+07  1.777e+07  1.934e+07  5.707e+06
  763.000  3.233e+07  1.775e+07  1.934e+07  5.505e+06
  765.000  3.222e+07  1.765e+07  1.925e+07  5.377e+06
  767.000  3.098e+07  1.656e+07  1.809e+07  4.785e+06
  769.000  3.199e+07  1.725e+07  1.886e+07  4.861e+06
  771.000  3.139e+07  1.680e+07  1.837e+07  4.747e+06
  773.000  3.157e+07  1.719e+07  1.877e+07  5.017e+06
  775.000  3.116e+07  1.692e+07  1.848e+07  4.907e+06
  777.000  3.179e+07  1.724e+07  1.885e+07  4.907e+06
  779.000  3.161e+07  1.717e+07  1.876e+07  4.935e+06
  781.000  3.143e+07  1.724e+07  1.881e+07  5.148e+06
  783.000  3.099e+07  1.695e+07  1.849e+07  5.078e+06
  785.000  3.100e+07  1.702e+07  1.856e+07  5.148e+06
  787.000  3.121e+07  1.725e+07  1.880e+07  5.270e+06
  789.000  3.086e+07  1.721e+07  1.873e+07  5.480e+06
  791.000  3.033e+07  1.697e+07  1.847e+07  5.441e+06
  793.000  2.982e+07  1.682e+07  1.828e+07  5.524e+06
  795.000  2.958e+07  1.666e+07  1.810e+07  5.604e+06
  797.000  3.035e+07  1.719e+07  1.866e+07  5.847e+06
  799.000  3.021e+07  1.707e+07  1.853e+07  5.840e+06
  801.000  2.985e+07  1.697e+07  1.841e+07  5.924e+06
  803.000  2.989e+07  1.704e+07  1.847e+07  6.031e+06
  805.000  2.955e+07  1.692e+07  1.833e+07  6.136e+06
  807.000  2.966e+07  1.696e+07  1.837e+07  6.156e+06
  809.000  2.905e+07  1.679e+07  1.815e+07  6.251e+06
  811.000  2.920e+07  1.690e+07  1.827e+07  6.332e+06
  813.000  2.941e+07  1.705e+07  1.843e+07  6.430e+06
  815.000  2.926e+07  1.701e+07  1.838e+07  6.459e+06
  817.000  2.919e+07  1.695e+07  1.831e+07  6.448e+06
  819.000  2.787e+07  1.572e+07  1.702e+07  5.727e+06
  821.000  2.837e+07  1.634e+07  1.770e+07  5.925e+06
  823.000  2.834e+07  1.644e+07  1.779e+07  6.097e+06
  825.000  2.864e+07  1.655e+07  1.791e+07  6.136e+06
  827.000  2.885e+07  1.668e+07  1.805e+07  6.074e+06
  829.000  2.866e+07  1.650e+07  1.789e+07  5.876e+06
  831.000  2.799e+07  1.620e+07  1.755e+07  5.873e+06
  833.000  2.756e+07  1.588e+07  1.718e+07  5.894e+06
  835.000  2.786e+07  1.610e+07  1.744e+07  5.825e+06
  837.000  2.800e+07  1.614e+07  1.748e+07  5.832e+06
  839.000  2.685e+07  1.532e+07  1.657e+07  5.668e+06
  841.000  2.791e+07  1.613e+07  1.746e+07  5.919e+06
  843.000  2.721e+07  1.557e+07  1.686e+07  5.641e+06
  845.000  2.763e+07  1.589e+07  1.723e+07  5.590e+06
  847.000  2.728e+07  1.567e+07  1.700e+07  5.484e+06
  849.000  2.720e+07  1.568e+07  1.699e+07  5.595e+06
  851.000  2.595e+07  1.499e+07  1.623e+07  5.468e+06
  853.000  2.678e+07  1.549e+07  1.677e+07  5.608e+06
  855.000  2.327e+07  1.361e+07  1.467e+07  5.465e+06
  857.000  2.732e+07  1.589e+07  1.720e+07  5.814e+06
  859.000  2.688e+07  1.573e+07  1.702e+07  5.857e+06
  861.000  2.680e+07  1.570e+07  1.697e+07  5.933e+06
  863.000  2.695e+07  1.580e+07  1.707e+07  6.052e+06
  865.000  2.671e+07  1.571e+07  1.696e+07  6.078e+06
  867.000  2.319e+07  1.368e+07  1.471e+07  5.739e+06
  869.000  2.551e+07  1.491e+07  1.607e+07  5.956e+06
  871.000  2.639e+07  1.568e+07  1.690e+07  6.270e+06
  873.000  2.635e+07  1.565e+07  1.686e+07  6.292e+06
  875.000  2.619e+07  1.562e+07  1.683e+07  6.310e+06
  877.000  2.632e+07  1.559e+07  1.679e+07  6.313e+06
  879.000  2.613e+07  1.561e+07  1.681e+07  6.397e+06
  881.000  2.517e+07  1.504e+07  1.617e+07  6.314e+06
  883.000  2.560e+07  1.519e+07  1.635e+07  6.292e+06
  885.000  2.595e+07  1.548e+07  1.667e+07  6.367e+06
  887.000  2.547e+07  1.488e+07  1.613e+07  5.310e+06
  889.000  2.595e+07  1.514e+07  1.641e+07  5.379e+06
  891.000  2.601e+07  1.521e+07  1.647e+07  5.552e+06
  893.000  2.547e+07  1.500e+07  1.622e+07  5.615e+06
  895.000  2.533e+07  1.485e+07  1.607e+07  5.449e+06
  897.000  2.540e+07  1.493e+07  1.615e+07  5.534e+06
  899.000  2.545e+07  1.503e+07  1.624e+07  5.711e+06
  901.000  2.431e+07  1.443e+07  1.556e+07  5.687e+06
  903.000  2.519e+07  1.478e+07  1.598e+07  5.485e+06
  905.000  2.557e+07  1.504e+07  1.626e+07  5.610e+06
  907.000  2.529e+07  1.499e+07  1.620e+07  5.717e+06
  909.000  2.451e+07  1.456e+07  1.571e+07  5.700e+06
  911.000  2.458e+07  1.461e+07  1.576e+07  5.743e+06
  913.000  2.498e+07  1.486e+07  1.602e+07  5.868e+06
  915.000  2.441e+07  1.469e+07  1.583e+07  5.925e+06
  917.000  2.414e+07  1.461e+07  1.574e+07  5.978e+06
  919.000  2.424e+07  1.469e+07  1.582e+07  6.028e+06
  921.000  2.368e+07  1.443e+07  1.552e+07  5.984e+06
  923.000  2.376e+07  1.451e+07  1.562e+07  5.945e+06
  925.000  2.350e+07  1.430e+07  1.539e+07  5.915e+06
  927.000  2.376e+07  1.441e+07  1.551e+07  5.939e+06
  929.000  2.359e+07  1.430e+07  1.539e+07  5.864e+06
  931.000  2.386e+07  1.446e+07  1.557e+07  5.887e+06
