 Disk integrated flux for G2V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
=============================================================
  515.000  9.057e+07  3.432e+07  4.094e+07  3.338e+06
  517.000  8.057e+07  2.860e+07  3.407e+07  2.961e+06
  519.000  8.205e+07  2.998e+07  3.574e+07  2.981e+06
  521.000  9.086e+07  3.509e+07  4.179e+07  3.695e+06
  523.000  9.205e+07  3.861e+07  4.564e+07  5.646e+06
  525.000  9.515e+07  4.100e+07  4.849e+07  5.865e+06
  527.000  8.380e+07  3.465e+07  4.097e+07  4.982e+06
  529.000  9.418e+07  4.086e+07  4.819e+07  6.430e+06
  531.000  9.713e+07  4.323e+07  5.093e+07  7.101e+06
  533.000  8.724e+07  3.740e+07  4.408e+07  6.017e+06
  535.000  9.402e+07  4.129e+07  4.866e+07  6.721e+06
  537.000  9.329e+07  4.068e+07  4.798e+07  6.438e+06
  539.000  9.226e+07  4.008e+07  4.723e+07  6.512e+06
  541.000  8.897e+07  3.875e+07  4.564e+07  6.401e+06
  543.000  9.133e+07  3.960e+07  4.668e+07  6.403e+06
  545.000  9.350e+07  4.067e+07  4.807e+07  5.920e+06
  547.000  9.196e+07  4.057e+07  4.797e+07  5.815e+06
  549.000  9.102e+07  4.038e+07  4.766e+07  6.184e+06
  551.000  9.109e+07  4.000e+07  4.729e+07  5.729e+06
  553.000  9.156e+07  4.104e+07  4.839e+07  6.528e+06
  555.000  9.244e+07  4.174e+07  4.917e+07  6.840e+06
  557.000  8.978e+07  4.025e+07  4.738e+07  6.725e+06
  559.000  8.798e+07  3.890e+07  4.588e+07  6.120e+06
  561.000  9.041e+07  4.052e+07  4.793e+07  5.680e+06
  563.000  9.047e+07  4.082e+07  4.823e+07  6.024e+06
  565.000  9.042e+07  4.115e+07  4.853e+07  6.438e+06
  567.000  8.827e+07  4.010e+07  4.730e+07  6.278e+06
  569.000  8.947e+07  4.087e+07  4.813e+07  6.737e+06
  571.000  8.772e+07  3.972e+07  4.676e+07  6.613e+06
  573.000  9.253e+07  4.268e+07  5.017e+07  7.430e+06
  575.000  8.954e+07  4.142e+07  4.860e+07  7.660e+06
  577.000  9.013e+07  4.168e+07  4.899e+07  7.280e+06
  579.000  8.776e+07  4.020e+07  4.719e+07  7.343e+06
  581.000  8.934e+07  4.149e+07  4.870e+07  7.583e+06
  583.000  9.042e+07  4.236e+07  4.971e+07  7.781e+06
  585.000  8.833e+07  4.101e+07  4.819e+07  7.229e+06
  587.000  8.828e+07  4.087e+07  4.817e+07  6.543e+06
  589.000  8.070e+07  3.340e+07  3.970e+07  3.780e+06
  591.000  8.705e+07  3.991e+07  4.720e+07  5.643e+06
  593.000  8.683e+07  4.037e+07  4.761e+07  6.299e+06
  595.000  8.681e+07  4.047e+07  4.770e+07  6.462e+06
  597.000  8.690e+07  4.076e+07  4.801e+07  6.621e+06
  599.000  8.591e+07  4.036e+07  4.747e+07  6.887e+06
  601.000  8.444e+07  3.963e+07  4.658e+07  6.932e+06
  603.000  8.469e+07  4.014e+07  4.709e+07  7.422e+06
  605.000  8.592e+07  4.087e+07  4.791e+07  7.716e+06
  607.000  8.524e+07  4.052e+07  4.745e+07  7.906e+06
  609.000  8.314e+07  3.941e+07  4.608e+07  8.020e+06
  611.000  8.254e+07  3.928e+07  4.593e+07  7.936e+06
  613.000  7.946e+07  3.726e+07  4.357e+07  7.547e+06
  615.000  8.051e+07  3.853e+07  4.499e+07  8.079e+06
  617.000  7.788e+07  3.598e+07  4.237e+07  5.892e+06
  619.000  8.161e+07  3.870e+07  4.553e+07  6.540e+06
  621.000  8.155e+07  3.862e+07  4.546e+07  6.431e+06
  623.000  7.936e+07  3.736e+07  4.405e+07  5.825e+06
  625.000  7.716e+07  3.643e+07  4.289e+07  5.994e+06
  627.000  8.000e+07  3.792e+07  4.458e+07  6.551e+06
  629.000  8.017e+07  3.831e+07  4.498e+07  6.885e+06
  631.000  7.792e+07  3.724e+07  4.363e+07  7.104e+06
  633.000  7.812e+07  3.747e+07  4.386e+07  7.349e+06
  635.000  7.806e+07  3.763e+07  4.401e+07  7.585e+06
  637.000  7.757e+07  3.742e+07  4.376e+07  7.537e+06
  639.000  7.797e+07  3.780e+07  4.417e+07  7.770e+06
  641.000  7.610e+07  3.689e+07  4.307e+07  7.767e+06
  643.000  7.673e+07  3.711e+07  4.340e+07  7.428e+06
  645.000  7.575e+07  3.658e+07  4.278e+07  7.354e+06
  647.000  7.525e+07  3.641e+07  4.253e+07  7.591e+06
  649.000  7.413e+07  3.583e+07  4.188e+07  7.342e+06
  651.000  7.529e+07  3.687e+07  4.301e+07  7.869e+06
  653.000  7.449e+07  3.686e+07  4.292e+07  8.276e+06
  655.000  7.079e+07  3.550e+07  4.132e+07  8.016e+06
  657.000  6.362e+07  3.334e+07  3.870e+07  7.937e+06
  659.000  7.218e+07  3.592e+07  4.182e+07  8.077e+06
  661.000  7.385e+07  3.658e+07  4.261e+07  8.101e+06
  663.000  7.347e+07  3.633e+07  4.235e+07  7.922e+06
  665.000  7.337e+07  3.622e+07  4.229e+07  7.573e+06
  667.000  7.241e+07  3.562e+07  4.162e+07  7.274e+06
  669.000  7.334e+07  3.608e+07  4.230e+07  6.736e+06
  671.000  7.171e+07  3.514e+07  4.116e+07  6.729e+06
  673.000  7.246e+07  3.572e+07  4.196e+07  6.293e+06
  675.000  7.160e+07  3.526e+07  4.139e+07  6.367e+06
  677.000  7.155e+07  3.544e+07  4.151e+07  6.796e+06
  679.000  7.102e+07  3.507e+07  4.114e+07  6.414e+06
  681.000  7.046e+07  3.493e+07  4.091e+07  6.704e+06
  683.000  7.074e+07  3.528e+07  4.127e+07  7.009e+06
  685.000  6.916e+07  3.443e+07  4.022e+07  7.131e+06
  687.000  6.968e+07  3.477e+07  4.061e+07  7.200e+06
  689.000  6.968e+07  3.494e+07  4.073e+07  7.604e+06
  691.000  6.905e+07  3.477e+07  4.044e+07  8.015e+06
  693.000  6.872e+07  3.454e+07  4.018e+07  7.928e+06
  695.000  6.827e+07  3.441e+07  3.994e+07  8.296e+06
  697.000  6.807e+07  3.452e+07  3.997e+07  8.763e+06
  699.000  6.781e+07  3.430e+07  3.969e+07  8.828e+06
  701.000  6.580e+07  3.351e+07  3.870e+07  9.012e+06
  703.000  6.671e+07  3.405e+07  3.930e+07  9.277e+06
  705.000  6.681e+07  3.411e+07  3.944e+07  8.939e+06
  707.000  6.607e+07  3.329e+07  3.880e+07  7.281e+06
  709.000  6.569e+07  3.305e+07  3.859e+07  6.886e+06
  711.000  6.560e+07  3.310e+07  3.867e+07  6.797e+06
  713.000  6.464e+07  3.234e+07  3.790e+07  6.106e+06
  715.000  6.411e+07  3.193e+07  3.743e+07  6.003e+06
  717.000  6.396e+07  3.228e+07  3.776e+07  6.408e+06
  719.000  6.230e+07  3.144e+07  3.665e+07  6.848e+06
  721.000  6.336e+07  3.196e+07  3.731e+07  6.687e+06
  723.000  6.324e+07  3.237e+07  3.767e+07  7.369e+06
  725.000  6.337e+07  3.244e+07  3.766e+07  7.756e+06
  727.000  6.305e+07  3.243e+07  3.755e+07  8.218e+06
  729.000  6.132e+07  3.166e+07  3.657e+07  8.486e+06
  731.000  6.208e+07  3.213e+07  3.706e+07  8.841e+06
  733.000  6.178e+07  3.194e+07  3.679e+07  9.000e+06
  735.000  6.183e+07  3.203e+07  3.685e+07  9.266e+06
  737.000  6.173e+07  3.224e+07  3.702e+07  9.658e+06
  739.000  6.022e+07  3.155e+07  3.615e+07  9.787e+06
  741.000  5.958e+07  3.131e+07  3.585e+07  9.863e+06
  743.000  5.998e+07  3.163e+07  3.620e+07  1.005e+07
  745.000  5.987e+07  3.151e+07  3.605e+07  1.005e+07
  747.000  6.012e+07  3.172e+07  3.627e+07  1.022e+07
  749.000  5.944e+07  3.139e+07  3.587e+07  1.023e+07
  751.000  5.936e+07  3.145e+07  3.592e+07  1.032e+07
  753.000  5.937e+07  3.159e+07  3.607e+07  1.043e+07
  755.000  5.936e+07  3.162e+07  3.610e+07  1.045e+07
  757.000  5.869e+07  3.128e+07  3.570e+07  1.042e+07
  759.000  5.842e+07  3.102e+07  3.550e+07  9.882e+06
  761.000  5.802e+07  3.083e+07  3.532e+07  9.608e+06
  763.000  5.817e+07  3.092e+07  3.548e+07  9.374e+06
  765.000  5.783e+07  3.078e+07  3.533e+07  9.226e+06
